chinese	english
化工與材工系	Department of Chemical Engineering and Material Engineering
化工與材工系(材料工程組)	Department of Chemical Engineering and Materials Engineering (Materials Engineering Group)
化工與材工系(生化工程組)	Department of Chemical Engineering and Materials Engineering (Biochemical Engineering Group)
化工與材工系(製程及能源組)	Department of Chemical Engineering and Materials Engineering (Process and Energy Group)
化工與材料工程學系	Department of Chemical and Materials Engineering
化工與材料工程學系(化學工程組)	Department of Chemical and Materials Engineering (Chemical Engineering Group)
化工與材料工程學系(材料工程組)	Department of Chemical and Materials Engineering (Materials Engineering Group)
化工與材料工程系	Department of Chemical and Materials Engineering
化工與材料工程系化工與材料組	Chemical Engineering and Materials Group, Department of Chemical Engineering and Materials Engineering
化工與材料工程系半導體製程組	Semiconductor Processing Group, Department of Chemical and Materials Engineering
化工與材料工程系電動車能源組	Electric Vehicle Energy Group, Department of Chemical Engineering and Materials Engineering
化工與生物科技系	Department of Chemical Engineering and Biotechnology
化工與生物科技系(化工組)	Department of Chemical Engineering and Biotechnology (Chemical Engineering Group)
化工與生物科技系(生科組)	Department of Chemical Engineering and Biotechnology (Bioscience Group)
化粧品應用與管理系	Department of Cosmetics Application and Management
化粧品科學償-類繁星組	Cosmetic Science Compensation-Xingfanxing Group
化粧品科學系	Department of Cosmetic Science
化粧品科學系(化粧品化學組)	Department of Cosmetic Science (Cosmetic Chemistry Group)
化粧品科學系(生醫科學組)	Department of Cosmetic Sciences (Biomedical Sciences Group)
區域與社會發展學系	Department of Regional and Social Development
半導體學士學位學程	Semiconductor Bachelor's Degree Program
半導體學士學位學程(半導體製程組)	Bachelor's Degree Program in Semiconductors (Semiconductor Processing Group)
半導體學士學位學程(半導體設備組)	Bachelor's Degree Program in Semiconductors (Semiconductor Equipment Group)
半導體工程學系	Department of Semiconductor Engineering
半導體工程學系固態電子組	Solid State Electronics Group, Department of Semiconductor Engineering
半導體工程學系奈米科	Department of Semiconductor Engineering Nanotech
半導體工程學系奈米科學組	Nanoscience Group, Department of Semiconductor Engineering
半導體工程系	Department of Semiconductor Engineering
半導體工程系（楠梓校區）	Department of Semiconductor Engineering (Nanzi Campus)
半導體工程與材料系	Department of Semiconductor Engineering and Materials
半導體應用學士學位學程	Bachelor's Degree Program in Semiconductor Applications
半導體應用學士學位學程(桃園校區)	Bachelor's Degree Program in Semiconductor Applications (Taoyuan Campus)
半導體材料與製程學士學位學程	Semiconductor Materials and Processing Bachelor's Degree Program
半導體與光電工程系	Department of Semiconductor and Optoelectronic Engineering
半導體與光電科技系	Department of Semiconductor and Optoelectronics Technology
南亞技術學院	South Asia Institute of Technology
南臺科技大學	Southern Taiwan University of Science and Technology
南華大學	University of South China
南開科技大學	Nankai University of Science and Technology
原住民族樂舞與藝術學位學程	Aboriginal Music, Dance and Arts Degree Program
原住民族樂舞與藝術學士學位學程	Bachelor's Degree in Aboriginal Music, Dance and Arts
原子科學院學士班	Bachelor's degree at the Academy of Atomic Sciences
原鄉發展與運用學士學位學程	Bachelor's degree program in rural development and application
口腔衛生學系	Department of Dental Hygiene
口腔衛生學系【外加】	Department of Dental Hygiene【Additional】
口腔衛生照護系	Department of Oral Hygiene Care
口語傳播學系	Department of Oral Communication
口語傳播暨社群媒體學系	Department of Spoken Communication and Social Media
口語傳播暨社群媒體學系【外加】	Department of Spoken Communication and Social Media [Additional]
古蹟藝術修護學系	Department of Heritage and Art Conservation
台北海洋科技大學	Taipei University of Marine Science and Technology
台南應用科技大學	Tainan University of Technology
台灣人文創新學士學位學程	Taiwan Bachelor's Degree Program in Humanities Innovation
台灣文創產業學士學位學程	Bachelor's Degree Program in Taiwan's Cultural and Creative Industries
台灣文化創意產業學位學程	Taiwan Cultural and Creative Industries Degree Program
台灣文化創意產業學士學位學程	Taiwan Cultural and Creative Industries Bachelor's Degree Program
台灣文學系	Department of Taiwanese Literature
台灣語文學系	Department of Taiwanese Language and Literature
台鋼科技大學	National Taiwan Steel University of Science and Technology
史學系	Department of History
合作經濟暨社會事業經營學系	Department of Cooperative Economics and Social Business Administration
